"Wk","Day","Date","Time","Home","xG","Score","xG.1","Away","Attendance","Venue","Referee","Match.Report","Notes"
27,"Sun","2022-03-06","17:05","Lille",2.2,"4-0",0.8,"Clermont Foot",33515,"Stade Pierre-Mauroy","Thomas Léonard","Match Report",NA
27,"Sun","2022-03-06","20:45","Marseille",0.7,"0-1",0.8,"Monaco",56510,"Orange Vélodrome","Antony Gautier","Match Report",NA
28,"Fri","2022-03-11","21:00","Lille",0.8,"0-0",0.6,"Saint-Étienne",40146,"Stade Pierre-Mauroy","Florent Batta","Match Report",NA
28,"Sat","2022-03-12","17:00","Montpellier",3.1,"0-0",0.7,"Nice",11658,"Stade de la Mosson","Clément Turpin","Match Report",NA
28,"Sat","2022-03-12","21:00","Troyes",1.3,"1-0",0.3,"Nantes",7400,"Stade de l'Aube","Stéphanie Frappart","Match Report",NA
28,"Sun","2022-03-13","13:00","Paris S-G",1.7,"3-0",0.7,"Bordeaux",44000,"Parc des Princes","François Letexier","Match Report",NA
28,"Sun","2022-03-13","15:00","Strasbourg",0.7,"1-0",0.5,"Monaco",25231,"Stade de la Meinau","Eric Wattellier","Match Report",NA
28,"Sun","2022-03-13","15:00","Clermont Foot",0.8,"0-2",1.4,"Lorient",11359,"Stade Gabriel Montpied","Bastien Dechepy","Match Report",NA
28,"Sun","2022-03-13","15:00","Metz",0.5,"0-0",0.5,"Lens",15687,"Stade Saint-Symphorien","Amaury Delerue","Match Report",NA
28,"Sun","2022-03-13","15:00","Angers",2.2,"0-1",1.4,"Reims",5960,"Stade Raymond Kopa","Mikael Lesage","Match Report",NA
28,"Sun","2022-03-13","17:05","Lyon",1.3,"2-4",1.1,"Rennes",46597,"Groupama Stadium","Antony Gautier","Match Report",NA
28,"Sun","2022-03-13","20:45","Brest",0.6,"1-4",2.2,"Marseille",14611,"Stade Francis-Le Blé","Ruddy Buquet","Match Report",NA
29,"Fri","2022-03-18","21:00","Saint-Étienne",1.2,"1-1",1,"Troyes",32193,"Stade Geoffroy-Guichard","Romain Lissorgue","Match Report",NA
29,"Sat","2022-03-19","17:00","Lens",1.3,"3-1",1.3,"Clermont Foot",36182,"Stade Bollaert-Delelis","Jeremy Stinat","Match Report",NA
29,"Sat","2022-03-19","21:00","Nantes",0.8,"0-1",1.2,"Lille",25977,"Stade de la Beaujoire - Louis Fonteneau","Pierre Gaillouste","Match Report",NA
29,"Sun","2022-03-20","13:00","Monaco",1.9,"3-0",1.3,"Paris S-G",16642,"Stade Louis II.","Benoît Bastien","Match Report",NA
29,"Sun","2022-03-20","15:00","Angers",1.6,"1-0",0.8,"Brest",7734,"Stade Raymond Kopa","Jérémie Pignard","Match Report",NA
29,"Sun","2022-03-20","15:00","Rennes",3.3,"6-1",0.9,"Metz",27966,"Roazhon Park","Willy Delajod","Match Report",NA
29,"Sun","2022-03-20","15:00","Bordeaux",3.3,"0-2",0.7,"Montpellier",15000,"Stade Matmut-Atlantique","Thomas Léonard","Match Report",NA
29,"Sun","2022-03-20","15:00","Lorient",0.4,"0-0",1.2,"Strasbourg",9806,"Stade Yves Allainmat - Le Moustoir","Benoît Millot","Match Report",NA
29,"Sun","2022-03-20","17:05","Reims",0.4,"0-0",1.9,"Lyon",14091,"Stade Auguste-Delaune II","Johan Hamel","Match Report",NA
29,"Sun","2022-03-20","20:45","Marseille",1.3,"2-1",1.3,"Nice",64722,"Orange Vélodrome","Jérôme Brisard","Match Report",NA
30,"Sat","2022-04-02","17:00","Nice",0.5,"1-1",1,"Rennes",24086,"Stade de Nice","Benoît Bastien","Match Report",NA
